LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    542.8   MMHG   COEFFICIENT   -0.97     % / MMHG
LOMNICKY   010415 300  180000-180500   00     423.93  542.9    424.14     1.40     1.62
LOMNICKY   010415 300  180500-181000   00     423.17  542.9    423.44     1.20     1.42
LOMNICKY   010415 300  181000-181500   00     423.37  542.9    423.72     1.30     1.52
LOMNICKY   010415 300  181500-182000   00     422.10  542.9    422.52     1.00     1.22
LOMNICKY   010415 300  182000-182500   00     423.93  543.0    424.43     1.50     1.71
LOMNICKY   010415 300  182500-183000   00     421.30  543.0    421.86     0.80     1.01
LOMNICKY   010415 300  183000-183500   00     422.77  543.0    423.39     1.20     1.41
LOMNICKY   010415 300  183500-184000   00     421.36  543.0    422.05     0.90     1.11
LOMNICKY   010415 300  184000-184500   00     421.40  543.0    422.14     0.90     1.10
LOMNICKY   010415 300  184500-185000   00     419.70  543.1    420.50     0.50     0.70
LOMNICKY   010415 300  185000-185500   00     421.17  543.1    422.03     0.90     1.10
LOMNICKY   010415 300  185500-190000   00     421.47  543.1    422.38     1.00     1.19
LOMNICKY   010415 300  190000-190500   00     421.37  543.1    422.37     1.00     1.19
LOMNICKY   010415 300  190500-191000   00     421.77  543.1    422.82     1.10     1.29
LOMNICKY   010415 300  191000-191500   00     420.40  543.2    421.50     0.80     0.98
LOMNICKY   010415 300  191500-192000   00     415.93  543.2    417.06    -0.30    -0.12
LOMNICKY   010415 300  192000-192500   00     416.13  543.2    417.30    -0.30    -0.12
LOMNICKY   010415 300  192500-193000   00     418.47  543.2    419.67     0.30     0.48
LOMNICKY   010415 300  193000-193500   00     417.77  543.2    418.99     0.20     0.37
LOMNICKY   010415 300  193500-194000   00     416.97  543.2    418.21     0.00     0.17
LOMNICKY   010415 300  194000-194500   00     418.06  543.2    419.33     0.20     0.36
LOMNICKY   010415 300  194500-195000   00     419.53  543.2    420.82     0.60     0.76
LOMNICKY   010415 300  195000-195500   00     419.67  543.2    420.96     0.70     0.86
LOMNICKY   010415 300  195500-200000   00     418.83  543.2    420.13     0.40     0.55
LOMNICKY   010415 300  200000-200500   00     413.30  543.2    414.55    -0.90    -0.75
LOMNICKY   010415 300  200500-201000   00     417.33  543.2    418.59     0.10    -9999
LOMNICKY   010415 300  201000-201500   00     417.07  543.2    418.32     0.00    -9999
LOMNICKY   010415 300  201500-202000   00     417.73  543.2    418.99     0.20    -9999
LOMNICKY   010415 300  202000-202500   00     417.37  543.2    418.61     0.10    -9999
LOMNICKY   010415 300  202500-203000   00     416.57  543.2    417.80    -0.10    -9999
LOMNICKY   010415 300  203000-203500   00     415.50  543.2    416.71    -0.40    -9999
LOMNICKY   010415 300  203500-204000   00     413.17  543.2    414.36    -0.90    -9999
LOMNICKY   010415 300  204000-204500   00     414.83  543.2    416.02    -0.50    -9999
LOMNICKY   010415 300  204500-205000   00     413.33  543.2    414.49    -0.90    -9999
LOMNICKY   010415 300  205000-205500   00     414.40  543.2    415.54    -0.70    -9999
LOMNICKY   010415 300  205500-210000   00     417.00  543.2    418.13     0.00    -9999
LOMNICKY   010415 300  210000-210500   00     414.17  543.1    415.22    -0.70    -9999
LOMNICKY   010415 300  210500-211000   00     412.87  543.1    413.90    -1.10    -9999
LOMNICKY   010415 300  211000-211500   00     415.00  543.1    416.01    -0.50    -9999
LOMNICKY   010415 300  211500-212000   00     414.43  543.1    415.42    -0.70    -9999
LOMNICKY   010415 300  212000-212500   00     415.30  543.1    416.26    -0.50    -9999
LOMNICKY   010415 300  212500-213000   00     419.27  543.1    420.21     0.40    -9999
LOMNICKY   010415 300  213000-213500   00     413.97  543.1    414.87    -0.80    -9999
LOMNICKY   010415 300  213500-214000   00     417.17  543.1    418.05    -0.10    -9999
LOMNICKY   010415 300  214000-214500   00     417.47  543.1    418.33     0.00    -9999
LOMNICKY   010415 300  214500-215000   00     419.77  543.1    420.61     0.50    -9999
LOMNICKY   010415 300  215000-215500   00     416.67  543.1    417.47    -0.20    -9999
LOMNICKY   010415 300  215500-220000   00     418.27  543.1    419.05     0.20    -9999
LOMNICKY   010415 300  220000-220500   00     415.80  543.1    416.63    -0.40    -9999
LOMNICKY   010415 300  220500-221000   00     418.00  543.1    418.81     0.10    -9999
LOMNICKY   010415 300  221000-221500   00     418.80  543.1    419.58     0.30    -9999
LOMNICKY   010415 300  221500-222000   00     419.17  543.0    419.91     0.40    -9999
LOMNICKY   010415 300  222000-222500   00     416.80  543.0    417.50    -0.20    -9999
LOMNICKY   010415 300  222500-223000   00     420.47  543.0    421.13     0.70    -9999
LOMNICKY   010415 300  223000-223500   00     416.53  543.0    417.14    -0.30    -9999
LOMNICKY   010415 300  223500-224000   00     416.70  543.0    417.25    -0.30    -9999
LOMNICKY   010415 300  224000-224500   00     418.93  543.0    419.43     0.30    -9999
LOMNICKY   010415 300  224500-225000   00     416.37  542.9    416.80    -0.40    -9999
LOMNICKY   010415 300  225000-225500   00     418.50  542.9    418.87     0.10    -9999
LOMNICKY   010415 300  225500-230000   00     417.03  542.9    417.33    -0.20    -9999
LOMNICKY   010415 3600 230000-240000   00     418.76  542.7    418.45     0.00    -9999
LOMNICKY   010416 3600 000000-010000   00     418.85  542.6    418.24     0.00    -9999
LOMNICKY   010416 3600 010000-020000   00     420.26  542.7    419.95     0.40    -9999
LOMNICKY   010416 3600 020000-030000   00     420.74  542.5    419.82     0.40    -9999
LOMNICKY   010416 3600 030000-040000   00     420.01  542.9    420.32     0.50    -9999
LOMNICKY   010416 3600 040000-050000   00     418.41  543.3    419.94     0.40    -9999
LOMNICKY   010416 3600 050000-060000   00     418.90  543.7    421.66     0.80    -9999
LOMNICKY   010416 3600 060000-070000   00     416.73  544.2    421.01     0.60    -9999
LOMNICKY   010416 3600 070000-080000   00     414.66  544.7    420.45     0.50    -9999
LOMNICKY   010416 3600 080000-090000   00     412.31  545.1    419.30     0.20    -9999
LOMNICKY   010416 3600 090000-100000   00     413.36  545.5    421.58     0.80    -9999
LOMNICKY   010416 3600 100000-110000   00     411.91  545.7    420.73     0.60    -9999
LOMNICKY   010416 3600 110000-120000   00     413.61  545.9    423.08     1.10    -9999
LOMNICKY   010416 3600 120000-130000   00     413.66  545.9    423.13     1.20    -9999
LOMNICKY   010416 3600 130000-140000   00     413.38  546.1    423.45     1.20    -9999
LOMNICKY   010416 3600 140000-150000   00     414.34  546.2    424.76     1.50    -9999
LOMNICKY   010416 3600 150000-160000   00     412.23  546.4    423.21     1.20    -9999
LOMNICKY   010416 3600 160000-170000   00     411.09  546.4    422.04     0.90    -9999
LOMNICKY   010416 3600 170000-180000   00     410.98  546.4    421.92     0.90    -9999
LOMNICKY   010416 3600 180000-190000   00     408.95  546.8    421.07     0.70    -9999
LOMNICKY   010416 3600 190000-200000   00     406.70  546.9    419.06     0.20    -9999
LOMNICKY   010416 3600 200000-210000   00     407.21  547.0    419.89     0.40    -9999
LOMNICKY   010416 3600 210000-220000   00     407.55  546.9    419.94     0.40    -9999
LOMNICKY   010416 3600 220000-230000   00     407.34  546.9    419.72     0.30    -9999
LOMNICKY   010416 3600 230000-240000   00     407.36  546.8    419.43     0.30    -9999
*
COMMENT    WARNING: PRESSURE GIVEN IN MMHG  (I.USOSKIN)
*	
COMMENT    WARNING: PRESSURE GIVEN IN MMHG  (I.USOSKIN)	
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060LMKS_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
