TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.74     % / mb
TERREADELI 211028 300  145000-145500   00     124.00  968.4    121.09    -2.17    -9999
TERREADELI 211028 300  145500-150000   00     127.20  968.5    124.06     0.23    -9999
TERREADELI 211028 300  150000-150500   00     127.80  968.6    125.05     1.03     0.97
TERREADELI 211028 300  150500-151000   00     127.20  968.6    124.14     0.29     0.23
TERREADELI 211028 300  151000-151500   00     126.47  968.6    123.61    -0.14    -0.21
TERREADELI 211028 300  151500-152000   00     125.93  968.6    122.98    -0.64    -0.71
TERREADELI 211028 300  152000-152500   00     127.13  968.7    125.05     1.03     0.95
TERREADELI 211028 300  152500-153000   00     126.60  968.8    123.90     0.10     0.02
TERREADELI 211028 300  153000-153500   00     126.13  968.7    123.22    -0.45    -0.54
TERREADELI 211028 300  153500-154000   00     125.73  968.8    123.36    -0.34    -0.43
TERREADELI 211028 300  154000-154500   00     127.27  968.9    124.69     0.74     0.64
TERREADELI 211028 300  154500-155000   00     125.67  968.9    122.76    -0.82    -0.92
TERREADELI 211028 300  155000-155500   00     126.93  968.9    124.64     0.69     0.58
TERREADELI 211028 300  155500-160000   00     126.80  969.0    124.56     0.64     0.53
TERREADELI 211028 300  160000-160500   00     126.33  969.0    123.80     0.02    -0.10
TERREADELI 211028 300  160500-161000   00     126.60  969.1    124.00     0.18     0.06
TERREADELI 211028 300  161000-161500   00     128.07  969.1    125.91     1.73     1.60
TERREADELI 211028 300  161500-162000   00     126.67  969.1    124.41     0.51     0.38
TERREADELI 211028 300  162000-162500   00     128.00  969.3    125.67     1.53     1.39
TERREADELI 211028 300  162500-163000   00     127.47  969.4    125.28     1.21     1.07
TERREADELI 211028 300  163000-163500   00     128.93  969.5    127.11     2.69     2.54
TERREADELI 211028 300  163500-164000   00     128.27  969.5    126.21     1.97     1.82
TERREADELI 211028 300  164000-164500   00     128.93  969.7    127.17     2.74     2.59
TERREADELI 211028 300  164500-165000   00     126.80  969.8    125.09     1.06     0.90
TERREADELI 211028 300  165000-165500   00     127.53  969.9    125.59     1.46     1.30
TERREADELI 211028 300  165500-170000   00     127.00  970.0    125.68     1.54     1.37
TERREADELI 211028 300  170000-170500   00     128.93  970.1    127.28     2.83     2.66
TERREADELI 211028 300  170500-171000   00     127.27  970.1    125.47     1.37     1.19
TERREADELI 211028 300  171000-171500   00     125.67  970.1    124.38     0.49     0.31
TERREADELI 211028 300  171500-172000   00     128.67  970.2    127.25     2.81     2.62
TERREADELI 211028 300  172000-172500   00     126.00  970.2    124.31     0.43     0.24
TERREADELI 211028 300  172500-173000   00     127.67  970.3    126.69     2.35     2.15
TERREADELI 211028 300  173000-173500   00     127.60  970.3    126.46     2.17     1.97
TERREADELI 211028 300  173500-174000   00     128.73  970.3    127.60     3.09     2.88
TERREADELI 211028 300  174000-174500   00     128.33  970.4    127.00     2.60     2.39
TERREADELI 211028 300  174500-175000   00     126.93  970.4    126.02     1.82     1.60
TERREADELI 211028 300  175000-175500   00     129.20  970.5    128.11     3.50     3.28
TERREADELI 211028 300  175500-180000   00     127.53  970.6    126.59     2.27     2.04
TERREADELI 211028 300  180000-180500   00     125.27  970.6    124.52     0.60     0.37
TERREADELI 211028 300  180500-181000   00     126.73  970.8    126.06     1.84     1.60
TERREADELI 211028 300  181000-181500   00     125.40  970.8    124.43     0.53     0.29
TERREADELI 211028 300  181500-182000   00     126.07  970.7    125.17     1.12     0.87
TERREADELI 211028 300  182000-182500   00     127.20  970.7    126.45     2.16     1.91
TERREADELI 211028 300  182500-183000   00     127.33  970.8    126.48     2.18     1.92
TERREADELI 211028 300  183000-183500   00     126.93  970.8    126.04     1.83     1.57
TERREADELI 211028 300  183500-184000   00     126.53  970.9    126.11     1.89     1.62
TERREADELI 211028 300  184000-184500   00     125.27  971.0    124.86     0.88     0.61
TERREADELI 211028 300  184500-185000   00     123.40  971.1    122.88    -0.72    -1.00
TERREADELI 211028 300  185000-185500   00     126.00  971.2    125.39     1.30     1.02
TERREADELI 211028 300  185500-190000   00     126.53  971.2    126.01     1.80     1.51
TERREADELI 211028 300  190000-190500   00     124.33  971.2    124.12     0.28    -0.01
TERREADELI 211028 300  190500-191000   00     126.87  971.3    126.43     2.14     1.84
TERREADELI 211028 300  191000-191500   00     125.53  971.4    125.23     1.17     0.87
TERREADELI 211028 300  191500-192000   00     126.13  971.4    125.88     1.70     1.39
TERREADELI 211028 300  192000-192500   00     124.53  971.5    124.13     0.28    -0.03
TERREADELI 211028 300  192500-193000   00     124.67  971.6    124.65     0.71     0.40
TERREADELI 211028 300  193000-193500   00     124.33  971.6    124.35     0.46     0.14
TERREADELI 211028 300  193500-194000   00     124.27  971.7    124.43     0.53     0.21
TERREADELI 211028 300  194000-194500   00     123.53  971.8    123.56    -0.18    -0.51
TERREADELI 211028 300  194500-195000   00     123.53  972.0    123.86     0.07    -0.26
TERREADELI 211028 300  195000-195500   00     122.80  972.1    123.17    -0.49    -0.83
TERREADELI 211028 300  195500-200000   00     122.60  972.2    123.08    -0.56    -0.90
TERREADELI 211028 300  200000-200500   00     123.07  972.4    123.82     0.03    -0.32
TERREADELI 211028 300  200500-201000   00     123.27  972.5    123.87     0.07    -0.28
TERREADELI 211028 300  201000-201500   00     122.40  972.6    123.28    -0.40    -0.76
TERREADELI 211028 300  201500-202000   00     123.13  972.7    123.91     0.11    -0.25
TERREADELI 211028 300  202000-202500   00     123.73  972.8    124.93     0.93     0.56
TERREADELI 211028 300  202500-203000   00     123.27  972.9    124.41     0.51     0.14
TERREADELI 211028 300  203000-203500   00     122.27  972.8    123.12    -0.53    -0.91
TERREADELI 211028 300  203500-204000   00     125.93  972.9    127.07     2.66     2.28
TERREADELI 211028 300  204000-204500   00     122.73  973.0    124.14     0.29    -0.10
TERREADELI 211028 300  204500-205000   00     123.80  973.0    125.05     1.03     0.64
TERREADELI 211028 300  205000-205500   00     123.07  973.0    124.30     0.42     0.02
TERREADELI 211028 300  205500-210000   00     122.13  973.2    123.62    -0.12    -0.52
TERREADELI 211028 300  210000-210500   00     122.60  973.3    124.04     0.21    -9999
TERREADELI 211028 300  210500-211000   00     121.40  973.3    122.64    -0.92    -9999
TERREADELI 211028 300  211000-211500   00     121.93  973.3    123.23    -0.44    -9999
TERREADELI 211028 300  211500-212000   00     122.93  973.4    124.55     0.63    -9999
TERREADELI 211028 300  212000-212500   00     122.73  973.5    124.41     0.51    -9999
TERREADELI 211028 300  212500-213000   00     121.87  973.6    123.83     0.04    -9999
TERREADELI 211028 300  213000-213500   00     123.27  973.6    125.00     0.98    -9999
TERREADELI 211028 300  213500-214000   00     122.40  973.6    124.26     0.39    -9999
TERREADELI 211028 300  214000-214500   00     123.27  973.7    125.09     1.06    -9999
TERREADELI 211028 300  214500-215000   00     122.73  973.8    124.77     0.80    -9999
TERREADELI 211028 300  215000-215500   00     122.53  973.7    124.40     0.50    -9999
TERREADELI 211028 300  215500-220000   00     121.73  973.5    123.50    -0.23    -9999
TERREADELI 211028 300  220000-220500   00     123.00  973.6    125.14     1.10    -9999
TERREADELI 211028 300  220500-221000   00     121.60  973.9    123.67    -0.09    -9999
TERREADELI 211028 300  221000-221500   00     123.00  974.0    125.15     1.11    -9999
TERREADELI 211028 300  221500-222000   00     121.60  973.9    123.80     0.02    -9999
TERREADELI 211028 300  222000-222500   00     122.67  973.8    125.01     1.00    -9999
TERREADELI 211028 300  222500-223000   00     123.20  973.8    125.41     1.32    -9999
TERREADELI 211028 300  223000-223500   00     122.13  973.9    124.03     0.21    -9999
TERREADELI 211028 300  223500-224000   00     122.87  974.1    124.99     0.98    -9999
TERREADELI 211028 300  224000-224500   00     121.47  974.2    123.96     0.15    -9999
TERREADELI 211028 300  224500-225000   00     122.73  974.0    125.10     1.07    -9999
TERREADELI 211028 300  225000-225500   00     122.60  974.1    124.63     0.69    -9999
TERREADELI 211028 300  225500-230000   00     121.60  974.3    123.91     0.11    -9999
TERREADELI 211028 300  230000-230500   00     121.00  974.5    123.86     0.06    -9999
TERREADELI 211028 300  230500-231000   00     123.80  974.5    126.56     2.24    -9999
TERREADELI 211028 300  231000-231500   00     119.67  974.4    122.22    -1.26    -9999
TERREADELI 211028 300  231500-232000   00     122.67  974.3    125.20     1.15    -9999
TERREADELI 211028 300  232000-232500   00     121.60  974.4    124.15     0.30    -9999
TERREADELI 211028 300  232500-233000   00     120.47  974.5    123.22    -0.45    -9999
TERREADELI 211028 300  233000-233500   00     121.73  974.6    124.50     0.59    -9999
TERREADELI 211028 300  233500-234000   00     121.13  974.6    123.82     0.03    -9999
TERREADELI 211028 300  234000-234500   00     122.20  974.6    125.10     1.07    -9999
TERREADELI 211028 300  234500-235000   00     124.40  974.6    127.29     2.84    -9999
TERREADELI 211028 300  235000-235500   00     123.27  974.7    126.16     1.92    -9999
TERREADELI 211028 300  235500-000000   00     121.47  974.6    124.15     0.30    -9999
TERREADELI 211029 3600 000000-010000   00     121.63  975.0    124.73     0.77    -9999
TERREADELI 211029 3600 010000-020000   00     120.79  975.6    124.38     0.49    -9999
TERREADELI 211029 3600 020000-030000   00     119.92  975.8    123.77    -0.01    -9999
TERREADELI 211029 3600 030000-040000   00     119.81  976.1    123.76    -0.01    -9999
TERREADELI 211029 3600 040000-050000   00     120.61  976.3    124.89     0.90    -9999
TERREADELI 211029 3600 050000-060000   00     119.88  976.6    124.42     0.52    -9999
TERREADELI 211029 3600 060000-070000   00     119.11  977.0    124.01     0.19    -9999
TERREADELI 211029 3600 070000-080000   00     119.21  977.0    124.09     0.25    -9999
TERREADELI 211029 3600 080000-090000   00     119.31  976.7    123.93     0.12    -9999
TERREADELI 211029 3600 090000-100000   00     119.28  976.6    123.72    -0.04    -9999
TERREADELI 211029 3600 100000-110000   00     118.78  976.6    123.27    -0.41    -9999
TERREADELI 211029 3600 110000-120000   00     120.06  976.0    123.95     0.14    -9999
TERREADELI 211029 3600 120000-130000   00     120.09  975.3    123.39    -0.31    -9999
TERREADELI 211029 3600 130000-140000   00     121.02  974.7    123.91     0.11    -9999
TERREADELI 211029 3600 140000-150000   00     120.73  974.6    123.55    -0.18    -9999
TERREADELI 211029 3600 150000-160000   00     120.52  974.7    123.39    -0.31    -9999
TERREADELI 211029 3600 160000-170000   00     120.15  974.6    122.89    -0.72    -9999
TERREADELI 211029 3600 170000-180000   00     121.98  973.9    124.14     0.30    -9999
TERREADELI 211029 3600 180000-190000   00     121.22  973.7    123.08    -0.57    -9999
TERREADELI 211029 3600 190000-200000   00     122.23  973.6    124.06     0.23    -9999
TERREADELI 211029 3600 200000-210000   00     121.75  973.7    123.65    -0.10    -9999
TERREADELI 211029 3600 210000-220000   00     122.32  973.5    123.96     0.15    -9999
TERREADELI 211029 3600 220000-230000   00     122.63  973.0    123.88     0.08    -9999
TERREADELI 211029 3600 230000-000000   00     122.55  972.2    123.03    -0.61    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (30.10.2021)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073TERA_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
